condition,target_party,retrieved_party,proportion
qwen3/twostage,FDP,SPD,0.2241
qwen3/twostage,FDP,CDU/CSU,0.2655
qwen3/twostage,FDP,AfD,0.1
qwen3/twostage,FDP,FDP,0.2172
qwen3/twostage,FDP,Greens,0.1172
qwen3/twostage,FDP,Left,0.0724
qwen3/twostage,FDP,Other,0.0034
qwen3/twostage,Greens,SPD,0.2526
qwen3/twostage,Greens,CDU/CSU,0.2321
qwen3/twostage,Greens,AfD,0.0615
qwen3/twostage,Greens,FDP,0.1359
qwen3/twostage,Greens,Greens,0.2231
qwen3/twostage,Greens,Left,0.0859
qwen3/twostage,Greens,Other,0.009
qwen3/twostage,Left,SPD,0.1542
qwen3/twostage,Left,CDU/CSU,0.1441
qwen3/twostage,Left,AfD,0.1229
qwen3/twostage,Left,FDP,0.0547
qwen3/twostage,Left,Greens,0.1508
qwen3/twostage,Left,Left,0.3609
qwen3/twostage,Left,Other,0.0123
